OBJECTID,ResourceAgencyNum,PublicName,AlternateName,HdNumNew,HDNAMENEW,Category,MERGE_SRC,HoodName,HoodID
111,69799646,"Lumenus Community Services - Griffin Centre, What's Up Walk-in Counselling Clinic",coronavirus; COVID19 Mental Health Support Strategy; CV19,27,York University Heights,"Child Care,Family & Youth","Child Care, Youth & Family",York University Heights,27
112,73198129,Lumenus Community Services - Griffin Mental Health Services,Compass; CV19; Helping Youth Towards Solutions; HYTS; reach OUT; reachOUT; reachOUT Newcomer Network; Sexual Offending Risk Needs Assessment and Treatment; SORNAT,27,York University Heights,"Child Care,Family & Youth","Child Care, Youth & Family",York University Heights,27
113,69799640,Lumenus Community Services - Skylark Counselling Services,CV19; Wraparound Program,167,Church-Wellesley,"Child Care,Family & Youth","Child Care, Youth & Family",Church-Yonge Corridor,75
114,69799655,"Lumenus Community Services - Skylark Long Term Residential Treatment, Hillsdale Residence",CV19,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
115,69799628,Lumenus Community Services - Skylark Merge Day Treatment Program,CV19; Delisle in the Schools,4,Rexdale-Kipling,"Child Care,Family & Youth","Child Care, Youth & Family",Rexdale-Kipling,4
116,69799652,"Lumenus Community Services - Skylark Residential Treatment, Richard Kalesky House",CV19,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
117,69799620,Lumenus Community Services - Skylark Studio Drop-in,CV19; Delisle in the Schools,100,Yonge-Eglinton,"Child Care,Family & Youth","Child Care, Youth & Family",Yonge-Eglinton,100
118,69799649,"Lumenus Community Services - Skylark Visions Day Treatment Program, George Harvey Collegiate",CV19; Delisle in the Schools,110,Keelesdale-Eglinton West,"Child Care,Family & Youth","Child Care, Youth & Family",Keelesdale-Eglinton West,110
119,69799638,Lumenus Community Services - Skylark What's Up Walk-In Counselling Clinic,coronavirus; covid-19; COVID19 Mental Health Support Strategy; CV19,167,Church-Wellesley,"Child Care,Family & Youth","Child Care, Youth & Family",Church-Yonge Corridor,75
120,69799643,Lumenus Community Services - Skylark YouthCan Impact Walk-In Counselling,CV19; Youth Can Impact Walk In Counselling Clinic,100,Yonge-Eglinton,"Child Care,Family & Youth","Child Care, Youth & Family",Yonge-Eglinton,100
121,69795722,"Macaulay Child Development Centre - EarlyON Child and Family Centre, 2700 Dufferin",Child Development Centre; CV19; EarlyON Child and Family Centre; EYC; OEYC; Ontario Early Years Centre,108,Briar Hill-Belgravia,"Child Care,Family & Youth","Child Care, Youth & Family",Briar Hill-Belgravia,108
122,69795725,"Macaulay Child Development Centre - EarlyON Child and Family Centre, 48 Regent St",Child Development Centre; CV19; EYC; OEYC; Ontario Early Years Centre,110,Keelesdale-Eglinton West,"Child Care,Family & Youth","Child Care, Youth & Family",Keelesdale-Eglinton West,110
123,69795714,"Macaulay Child Development Centre - EarlyON Child and Family Centre, Annette Public Library",Child Development Centre; CV19; Junction Caregiver Resource Centre,90,Junction Area,"Child Care,Family & Youth","Child Care, Youth & Family",Junction Area,90
124,69795719,Macaulay Child Development Centre - Macaulay Child Development Centre,Child Development Centre; CV19; Family Literacy; Supporting Young Families,108,Briar Hill-Belgravia,"Child Care,Family & Youth","Child Care, Youth & Family",Briar Hill-Belgravia,108
125,69795717,Macaulay Child Development Centre - Program Without Walls,Child Development Centre; CV19,108,Briar Hill-Belgravia,"Child Care,Family & Youth","Child Care, Youth & Family",Briar Hill-Belgravia,108
126,69795733,Malvern Family Resource Centre - EarlyON Child and Family Centre,CV19; Early Years Centre; EarlyON Child and Family Centre; EYC; OEYC,144,Upper Rouge,"Child Care,Family & Youth","Child Care, Youth & Family",Rouge,131
127,69795737,Malvern Family Resource Centre - Women's Place,CV19; Women Linking Women with Community Services; Women's Centre,144,Upper Rouge,"Child Care,Family & Youth","Child Care, Youth & Family",Rouge,131
128,69797881,"Massey Centre - EarlyOn Child and Family Centre, Toronto Danforth",CV19; EarlyOn; EarlyOn Child and Family Centre; OCFC,57,Broadview North,"Child Care,Family & Youth","Child Care, Youth & Family",Broadview North,57
129,69797883,Massey Centre - Massey Centre,Massey Centre,57,Broadview North,"Child Care,Family & Youth","Child Care, Youth & Family",Broadview North,57
130,69795034,Moorelands Kids - Moorelands Kids,CV19; Moorelands Wilderness Camp,53,Henry Farm,"Child Care,Family & Youth","Child Care, Youth & Family",Henry Farm,53
131,69800167,More Than Child's Play EarlyON Child and Family Centre - More Than Child's Play EarlyON Child and Family Centre,Early Years Centre; EarlyON Child and Family Centre,85,South Parkdale,"Child Care,Family & Youth","Child Care, Youth & Family",South Parkdale,85
132,69794546,Mothercraft - Early Intervention Programs,Breaking the Cycle; BTC; Building Connections; CV19; Parent/Infant Program; PIP,162,West Queen West,"Child Care,Family & Youth","Child Care, Youth & Family",Niagara,82
133,69794538,"Mothercraft - EarlyON Child and Family Centre, St Paul's",CV19; EarlyON CFC; EarlyON Child and Family Centre; EYC; Mothercraft Society; OEYC; Ontario Early Years Centre; St Pauls Riding,97,Yonge-St.Clair,"Child Care,Family & Youth","Child Care, Youth & Family",Yonge-St.Clair,97
134,69794540,Mothercraft - Mothercraft,City Kids; CITYKIDS; CV19; EarlyON Child and Family Centre; Kids Included in Developmental Supports,97,Yonge-St.Clair,"Child Care,Family & Youth","Child Care, Youth & Family",Yonge-St.Clair,97
135,69794543,Mothercraft - Mothercraft College of Early Childhood Education,CV19,94,Wychwood,"Child Care,Family & Youth","Child Care, Youth & Family",Wychwood,94
136,69799055,Nanny Angel Network - Nanny Angel Network,NAN,34,Bathurst Manor,"Child Care,Family & Youth","Child Care, Youth & Family",Bathurst Manor,34
137,69797937,"Neighbourhood Link Support Services - Children, Youth and Newcomer Programs",Eat and Meet; Explore Toronto; Healthy Lifestyle; Kick Start; Neighbourhood Group; Youth Awoken,61,Taylor-Massey,"Child Care,Family & Youth","Child Care, Youth & Family",Taylor-Massey,61
138,69796102,North York General Hospital - Adolescent Eating Disorders Program,CV19; IODE Children's Centre; NYGH,47,Don Valley Village,"Child Care,Family & Youth","Child Care, Youth & Family",Don Valley Village,47
139,69796150,Northwood Neighbourhood Services - Child-parent program,CV19 ; EarlyON Child and Family Program,155,Downsview,"Child Care,Family & Youth","Child Care, Youth & Family",Downsview-Roding-CFB,26
140,69794762,NPower Canada - NPower Canada,CIF; CV19; Empower,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
141,69796933,Ombudsman Ontario - Children and Youth Unit,Advocate's Office; CV19; Office of the Provincial Advocate for Children and Youth; Ontario Child and Youth Unit; Ontario Youth Advocate,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
142,69796989,One Parent Families Association of Canada - Toronto Area Chapter,Canadian 1 Parent Family Association; OPFA Toronto,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
143,69796178,Ontario Association of Children's Aid Societies - Ontario Association of Children's Aid Societies,Association of Children's Aid Societies; OACAS; YouthCAN,166,St Lawrence-East Bayfront-The Islands,"Child Care,Family & Youth","Child Care, Youth & Family",Waterfront Communities-The Island,77
144,69796176,Ontario Association of Children's Aid Societies - YouthCAN,"Association of Childrens Aid Societies; OACAS; Resources Supporting Youth in Transition; RSYT; Youth Communication, Advocacy and Networking; Youth Policy Advisory and Advocacy Group; YPAAG",166,St Lawrence-East Bayfront-The Islands,"Child Care,Family & Youth","Child Care, Youth & Family",Waterfront Communities-The Island,77
145,69796205,Ontario Camps Association - Ontario Camps Association,Camping Association; CV19; Find a Camp; OCA,27,York University Heights,"Child Care,Family & Youth","Child Care, Youth & Family",York University Heights,27
146,69801432,"Ontario. Ministry of Children, Community and Social Services - CFSA Licensing and Compliance Services","CFSA Licencing; Child, Youth and Family Services Act; CYFSA; MCYS; Ministry of Children and Youth Services",170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
147,69801403,"Ontario. Ministry of Children, Community and Social Services - Ontario Autism Program",Ministry of Children and Youth Services,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
148,69801438,"Ontario. Ministry of Children, Community and Social Services - Ontario. Ministry of Children, Community and Social Services",MCYS; Ministry of Children and Youth Services,78,Kensington-Chinatown,"Child Care,Family & Youth","Child Care, Youth & Family",Kensington-Chinatown,78
149,69801406,"Ontario. Ministry of Children, Community and Social Services - Post Adoption Disclosure Unit",Adoption Disclosure Register; Custodian of Adoption Information,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
150,69801435,"Ontario. Ministry of Children, Community and Social Services - Private and International Adoption",MCYS Private and International Adoption; Ministry of Children and Youth Services,169,Bay-Cloverhill,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
151,73393466,"Ontario. Ministry of Children, Community and Social Services - Youth Justice Services Division, Toronto Region",CV19; MCYS; Ministry of Children and Youth Services; Ontario. Youth Justice Services,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
152,69801417,"Ontario. Ministry of Children, Community and Social Services - Youth Justice Services, Probation Office, Toronto Central",MCYS; Ministry of Children and Youth Services; Ontario. Youth Justice Services,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
153,69801420,"Ontario. Ministry of Children, Community and Social Services - Youth Justice Services, Probation Office, Toronto East",MCYS; Ministry of Children and Youth Services; Ontario. Youth Justice Services,126,Dorset Park,"Child Care,Family & Youth","Child Care, Youth & Family",Dorset Park,126
154,71141129,"Ontario. Ministry of Children, Community and Social Services - Youth Justice Services, Probation Office, Toronto North",MCYS; Ministry of Children and Youth Services; Ontario. Youth Justice Services,31,Yorkdale-Glen Park,"Child Care,Family & Youth","Child Care, Youth & Family",Yorkdale-Glen Park,31
155,69801423,"Ontario. Ministry of Children, Community and Social Services - Youth Justice Services, Probation Office, Toronto West Dundas",MCYS; Ministry of Children and Youth Services; Ontario. Youth Justice Services,158,Islington,"Child Care,Family & Youth","Child Care, Youth & Family",Islington-City Centre West,14
156,69801414,"Ontario. Ministry of Children, Community and Social Services - Youth Justice Services, Probation Office, Toronto West Kipling",MCYS; Ministry of Children and Youth Services; Ontario. Youth Justice Services,1,West Humber-Clairville,"Child Care,Family & Youth","Child Care, Youth & Family",West Humber-Clairville,1
157,69801429,"Ontario. Ministry of Children, Community and Social Services - Youth Justice Services, Youth Justice Volunteer Program, Toronto Region",MCYS; Ministry of Children and Youth Services; Ontario. Youth Justice Services; YJVP,1,West Humber-Clairville,"Child Care,Family & Youth","Child Care, Youth & Family",West Humber-Clairville,1
158,69801026,Ontario. Ministry of Education - Child Care Quality Assurance and Licensing,Child Care Finder; Early Years and Child Care Division,165,Harbourfront-CityPlace,"Child Care,Family & Youth","Child Care, Youth & Family",Waterfront Communities-The Island,77
159,69801504,Ontario. Ministry of Education. EarlyON Child and Family Centres - Ontario. Ministry of Education. EarlyON Child and Family Centres,CV19; Early Years Centre; EarlyON Child and Family Centre,165,Harbourfront-CityPlace,"Child Care,Family & Youth","Child Care, Youth & Family",Waterfront Communities-The Island,77
160,69796864,"Ontario. Ministry of the Attorney General, Court Services - Ontario Court of Justice, Family Court",Family Law Information Centre; FLIC; MAG; Ministry of the Attorney General; Toronto North Family Court,153,Avondale,"Child Care,Family & Youth","Child Care, Youth & Family",Willowdale East,51
161,69796837,"Ontario. Ministry of the Attorney General, Court Services - Ontario Court of Justice, Family Court / Youth Criminal Justice Court",CV19; Family Court; Family Law Information Centre; FLIC; MAG; Ministry of the Attorney General; Youth Criminal Justice Court,73,Moss Park,"Child Care,Family & Youth","Child Care, Youth & Family",Moss Park,73
162,69796830,Ontario. Ministry of the Attorney General. Office of the Children's Lawyer - Ontario. Ministry of the Attorney General. Office of the Children's Lawyer,MAG; Ontario. Office of the Children's Lawyer,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
163,69796970,Operation Springboard - Aris Kaplanis Centre for Youth,Attendance Program; Scarborough Youth Justice Committee; Specialized Youth Services; Springboard; SYJC; YJC,126,Dorset Park,"Child Care,Family & Youth","Child Care, Youth & Family",Dorset Park,126
164,69796946,Operation Springboard - Blue Jays Lodge,Youth Justice Residence,62,East End-Danforth,"Child Care,Family & Youth","Child Care, Youth & Family",East End-Danforth,62
165,69796949,Operation Springboard - Terry Fox House,Youth Justice Residence,78,Kensington-Chinatown,"Child Care,Family & Youth","Child Care, Youth & Family",Kensington-Chinatown,78
166,69796967,Operation Springboard - Youth Court Action Planning Program,CV19; YCAPP,73,Moss Park,"Child Care,Family & Youth","Child Care, Youth & Family",Moss Park,73
167,69799516,Ophea - Ophea,Ontario Physical and Health Education Association; Youth Thrive; YouThrive.com,42,Banbury-Don Mills,"Child Care,Family & Youth","Child Care, Youth & Family",Banbury-Don Mills,42
168,69799367,Outward Bound Canada. Charitable Programs - Outward Bound Canada. Charitable Programs,Residential Camp Programs,100,Yonge-Eglinton,"Child Care,Family & Youth","Child Care, Youth & Family",Yonge-Eglinton,100
